,ad_creative_bodies,ad_creative_link_descriptions,bylines,ad_creative_link_titles,ad_creative_link_captions,demographic_distribution,page_name,page_id,id,estimated_audience_size.lower_bound,estimated_audience_size.upper_bound,impressions.lower_bound,impressions.upper_bound,spend.lower_bound,spend.upper_bound
0,"[""Please join CEA's Red for Ed Day of Action this Wednesday! Come to Hartford to meet with your legislators, or if you can't make it, take just a few minutes to call or email.""]","[""With only nine days left in the legislative session, there's not much time to get teacher priorities across the finish line, and CEA leaders are encouraging all members to join in a Red for Ed Day of Action this Wednesday.""]",CONNECTICUT EDUCATION ASSOCIATION,['Join us in Hartford or from Your School for a Day of Action on Wednesday'],['cea.org'],"[{'percentage': '0.000954', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.001193', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001829', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.015826', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.022268', 'age': '65+', 'gender': 'male'}, {'percentage': '0.002227', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.050183', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.222523', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.182201', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.005488', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.070463', 'age': '65+', 'gender': 'female'}, {'percentage': '0.036583', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.115317', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.070542', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.052171', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.148879', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.001352', 'age': '55-64', 'gender': 'unknown'}]",Connecticut Education Association (CEA),124383441363,688988779084177,100001,500000,10000,14999,200,299
1,"['Thinking about attending a Connecticut State Community College? Get all the information and support you need during our virtual showcases April 28-30th. Hear about community college and program options throughout the state, transfer opportunities, financial aid, careers and more all from your couch! Live chat will be available. Register today by visiting the link in our bio.']",,odonnell company,,,"[{'percentage': '0.000541', 'age': '13-17', 'gender': 'female'}, {'percentage': '0.081754', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.056849', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.02653', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.368165', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.154304', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.062805', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.209529', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.024905', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.009204', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.001083', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.002166', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001083', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001083', 'age': '13-17', 'gender': 'male'}]",Connecticut State Community Colleges,406907476563016,247626834204512,500001,1000000,2000,2999,100,199
2,['Governor Lamont is protecting abortion rights in Connecticut. The governor is set to sign a major piece of legislation protecting abortion ahead of an upcoming Supreme Court ruling. Sign up now to learn more about what the Governor is doing for Connecticut >>'],['Gov. Lamont to sign key abortion bill'],NED FOR CT,['Sign up for more updates'],['nedlamont.com'],"[{'percentage': '0.018349', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.055046', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.082569', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.027523', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.119266', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.073394', 'age': '65+', 'gender': 'male'}, {'percentage': '0.009174', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.091743', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.293578', 'age': '65+', 'gender': 'female'}, {'percentage': '0.201835', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.027523', 'age': '35-44', 'gender': 'male'}]",Ned Lamont,196395247518,1318295712031128,500001,1000000,0,999,0,99
3,"['Hey Connecticut, have you heard? Governor Lamont has signed a bill suspending the gas tax. This means real relief for working families across the state. Add your name now to get more updates on what Gov. Lamont is doing for Connecticut >>']",['Gov. Lamont suspends gas tax'],NED FOR CT,['Sign up for more updates'],['nedlamont.com'],,Ned Lamont,196395247518,1072615439989473,500001,1000000,0,999,0,99
4,['Cost increases are hitting families in Connecticut. That’s why Governor Lamont and the Legislature have suspended the gas tax. It’ll cost you less to fill up at the pump. That’s real relief for Connecticut families. Add your name and find out more about how the Governor is working for you.'],['Sign up now >>'],NED FOR CT,['Gov. Lamont suspends gas tax'],['nedlamont.com'],,Ned Lamont,196395247518,667887484316111,500001,1000000,0,999,0,99
5,['Governor Lamont is protecting abortion rights in Connecticut. The governor is set to sign a major piece of legislation protecting abortion ahead of an upcoming Supreme Court ruling. Sign up now to learn more about what the Governor is doing for Connecticut >>'],['Gov. Lamont to sign key abortion bill'],NED FOR CT,['Sign up for more updates'],['nedlamont.com'],"[{'percentage': '0.020619', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.010309', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.051546', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.14433', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.154639', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.175258', 'age': '65+', 'gender': 'female'}, {'percentage': '0.216495', 'age': '65+', 'gender': 'male'}, {'percentage': '0.082474', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.051546', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.010309', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.010309', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.061856', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.010309', 'age': '18-24', 'gender': 'male'}]",Ned Lamont,196395247518,543889903963959,100001,500000,0,999,0,99
6,"['Hey Connecticut, have you heard? Governor Lamont has signed a bill suspending the gas tax. This means real relief for working families across the state. Add your name now to get more updates on what Gov. Lamont is doing for Connecticut >>']",['Gov. Lamont suspends gas tax'],NED FOR CT,['Sign up for more updates'],['nedlamont.com'],,Ned Lamont,196395247518,680652063196948,100001,500000,0,999,0,99
7,['Governor Lamont is protecting abortion rights in Connecticut. The governor is set to sign a major piece of legislation protecting abortion ahead of an upcoming Supreme Court ruling. Sign up now to learn more about what the Governor is doing for Connecticut >>'],['Gov. Lamont to sign key abortion bill'],NED FOR CT,['Sign up for more updates'],['nedlamont.com'],"[{'percentage': '0.032847', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.051095', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.058394', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.266423', 'age': '65+', 'gender': 'female'}, {'percentage': '0.175182', 'age': '65+', 'gender': 'male'}, {'percentage': '0.153285', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.043796', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.087591', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.09854', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.00365', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.014599', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.007299', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.00365', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.00365', 'age': '45-54', 'gender': 'unknown'}]",Ned Lamont,196395247518,672181540670736,500001,1000000,0,999,0,99
8,"['Hey Connecticut, have you heard? Governor Lamont has signed a bill suspending the gas tax. This means real relief for working families across the state. Add your name now to get more updates on what Gov. Lamont is doing for Connecticut >>']",['Gov. Lamont suspends gas tax'],NED FOR CT,['Sign up for more updates'],['nedlamont.com'],"[{'percentage': '0.0033', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.161716', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.009901', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.00165', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.006601', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.036304', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.130363', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.057756', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.085809', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.00165', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.052805', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.194719', 'age': '65+', 'gender': 'female'}, {'percentage': '0.242574', 'age': '65+', 'gender': 'male'}, {'percentage': '0.008251', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.00165', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.00165', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.00165', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.00165', 'age': '35-44', 'gender': 'unknown'}]",Ned Lamont,196395247518,379247100880890,500001,1000000,0,999,0,99
9,['Cost increases are hitting families in Connecticut. That’s why Governor Lamont and the Legislature have suspended the gas tax. It’ll cost you less to fill up at the pump. That’s real relief for Connecticut families. Add your name and find out more about how the Governor is working for you.'],['Sign up now >>'],NED FOR CT,['Gov. Lamont suspends gas tax'],['nedlamont.com'],,Ned Lamont,196395247518,2086806288164112,500001,1000000,0,999,0,99
