,text,byline
0,It is awesome to have the support of the California Nurses Association! What they have been through in this pandemic is unreal… If hospitals are going to continue not paying property taxes they must treat our nurses better!,Braden Murphy for State Board of Equalization 2022  
1,"When the other candidate rides the coat tails of other establishment politicians, I ride in on my experience, dedication and support from the people…. Transparency and Credibility #ad5 #california",Jason Paletta for CA Secretary of State
2,"Seydi has worked with San Fernando Valley communities for 20 years. She understands the issues we are facing and she's prepared to advocate for us in Sacramento. 

Vote for Seydi because she pledges toward fixing:

📌 Homelessness
📌 Housing
📌 Education
📌 Small Business
📌 Access to healthcare

Most importantly, she pledges to listen to her constituents. Vote for Seydi Alejandra Morales for State Senate District 20 starting May 9th!",Seydi Alejandra Morales for Senate 2022
3,Learn more about our efforts to find solutions that will protect our planet while building a more equitable future for CA families.,Environmental Solutions Coalition
4,"Special interests like 𝗥𝗲𝗰𝗼𝗹𝗼𝗴𝘆 are exploiting environmental problems for their own profits. 

The San Francisco-based garbage and recycling giant was fined $36 million in a public corruption scandal after it admitted to bribery allegations related to overcharging customers $100 million. Don’t let special interests make up for lost profits by raising taxes on California taxpayers.",Environmental Solutions Coalition
5,"Across our state, working families and people on fixed incomes are already struggling to make ends meet. Tell your legislator today to focus on solutions to reduce plastic waste without raising taxes on hardworking families.",Environmental Solutions Coalition
6,"Across our state, working families and people on fixed incomes are already struggling to make ends meet. Tell your legislator today to focus on solutions to reduce plastic waste without raising taxes on hardworking families.",Environmental Solutions Coalition
7,"Special interests like 𝗥𝗲𝗰𝗼𝗹𝗼𝗴𝘆 are exploiting environmental problems for their own profits. 

The San Francisco-based garbage and recycling giant was fined $36 million in a public corruption scandal after it admitted to bribery allegations related to overcharging customers $100 million. Don’t let special interests make up for lost profits by raising taxes on California taxpayers.",Environmental Solutions Coalition
8,"Across our state, working families and people on fixed incomes are already struggling to make ends meet. Tell your legislator today to focus on solutions to reduce plastic waste without raising taxes on hardworking families.",Environmental Solutions Coalition
9,Learn more about our efforts to find solutions that will protect our planet while building a more equitable future for CA families.,Environmental Solutions Coalition
10,"Across our state, working families and people on fixed incomes are already struggling to make ends meet. Tell your legislator today to focus on solutions to reduce plastic waste without raising taxes on hardworking families.",Environmental Solutions Coalition
11,"The open primary is on June 7th. You can vote for any candidate on the ballot, no matter the party.  Let's all show the extremists who have taken over Washington DC and California that together, across party lines, we are taking back our country.

There's a Better Way.

https://gonzalesforcongress.com/",Gonzales For Congress 2022
12,"The cost of housing is skyrocketing, and our communities are suffering. Vote RN Jennifer Esteen for CA State Assembly.",ESTEEN RN FOR ASSEMBLY 2022
13,"Seydi has worked with San Fernando Valley communities for 20 years. She understands the issues we are facing and she's prepared to advocate for us in Sacramento. 

Vote for Seydi because she pledges toward fixing:

📌 Homelessness
📌 Housing
📌 Education
📌 Small Business
📌 Access to healthcare

Most importantly, she pledges to listen to her constituents. Vote for Seydi Alejandra Morales for State Senate District 20 starting May 9th!",Seydi Alejandra Morales for Senate 2022
14,"Rep. David Valadao is fighting to suspend the gas tax in California to help families and farmers just like Governor Larry Hogan already did in Maryland. If you agree, join An America United today and help fight for real solutions to America's problems.",An America United
15,Rep. David Valadao is fighting to make America less dependent on foreign energy. An America United believes America should harness its resources to become energy independent. Do you agree? Sign up today.,An America United
16,"I am excited to announce my re-election campaign for California's New 6th Congressional District. I look forward to continue working for Sacramento County.

https://beraforcongress.com/the-latest/press/doctor-ami-bera-announces-2022-re-election-campaign-for-californias-new-6th-congressional-district/",BERA FOR CONGRESS
17,I've officially filed to run in California's new 6th congressional district and would be honored to earn your vote in the June primary election. Let's keep pushing Sacramento County forward.,BERA FOR CONGRESS
18,"I'll be honest, we're behind where we need to be to hit this April fundraising goal. Defeating my Trump-backed Republican opponent is going to take the solidarity and support of people from all walks of life.

I'm running a people-first campaign to bring REAL relief with Medicare for All, a Green New Deal, and livable wages.

The California Democratic Party has recognized how this campaign has the power to bring together different people in a fight for a more livable future for ALL. Will you join the CADP and chip in a few dollars to keep this fight going?

Donations made today have the biggest impact on this campaign.",DEREK MARSHALL FOR CONGRESS
19,"I'll be honest, we're behind where we need to be to hit this April fundraising goal. Defeating my Trump-backed Republican opponent is going to take the solidarity and support of people from all walks of life.

I'm running a people-first campaign to bring REAL relief with Medicare for All, a Green New Deal, and livable wages.

The California Democratic Party has recognized how this campaign has the power to bring together different people in a fight for a more livable future for ALL. Will you join the CADP and chip in a few dollars to keep this fight going?

Donations made today have the biggest impact on this campaign.",DEREK MARSHALL FOR CONGRESS
20,"I'll be honest, we're behind where we need to be to hit this April fundraising goal. Defeating my Trump-backed Republican opponent is going to take the solidarity and support of people from all walks of life.

I'm running a people-first campaign to bring REAL relief with Medicare for All, a Green New Deal, and livable wages.

The California Democratic Party has recognized how this campaign has the power to bring together different people in a fight for a more livable future for ALL. Will you join the CADP and chip in a few dollars to keep this fight going?

Donations made today have the biggest impact on this campaign.",DEREK MARSHALL FOR CONGRESS
21,"I'll be honest, we're behind where we need to be to hit this April fundraising goal. Defeating my Trump-backed Republican opponent is going to take the solidarity and support of people from all walks of life.

I'm running a people-first campaign to bring REAL relief with Medicare for All, a Green New Deal, and livable wages.

The California Democratic Party has recognized how this campaign has the power to bring together different people in a fight for a more livable future for ALL. Will you join the CADP and chip in a few dollars to keep this fight going?

Donations made today have the biggest impact on this campaign.",DEREK MARSHALL FOR CONGRESS
22,California Rifle & Pistol Association is fighting at the Supreme Court -- but we need your immediate support to defend the Second Amendment!,CALIFORNIA RIFLE & PISTOL ASSOCIATION INC
23,"Sheriffs shouldn't interfere with cause-of-death rulings in officer-involved deaths. But they do in CA. 

#AB1608 aims to fix that by making coroner and sheriff officers separate. All families who lost their loved ones to police deserve unbiased medical investigations. 

Ten counties in California already do this. Make this statewide. Take action using the link in our bio! 

Follow us for the latest updates.",ACLU California Action
24,"Emil Guillermo is Emil Amok/E295: Musk is making it private? Deal-breaker; Filipinos in U.S. Vote; In CA-45 race, Steel's Racism....

WDAAAT? Emil's takes on everything.....AAF.... Asian American Filipino.  And all AAx's.....it's our micro talk show....updates at www.amok.com",Emil Amok Guillermo
25,"Scientists, coastal businesses, environmental leaders, and our neighbors are all worried about the impacts of the Brookfield-Poseidon Desalination Plant in Huntington Beach. If you love the ocean, you should be too. Sign the petition to say NO to this dangerous project.",ORANGE COUNTY COASTKEEPER
26,"Gary Griggs, UCSC Distinguished Professor of Earth Sciences, talks about why Greenway is the best environmental choice for the unused rail corridor.",YES Greenway
27,"While California is the #1 state funding my opponent's Senate campaign, I’m fighting for Georgia. We need your support today so that we can continue building momentum to WIN THIS RACE. Can we count on you to chip in $3 or $7 right now?","TEAM HERSCHEL, INC."
28,"While California is the #1 state funding my opponent's Senate campaign, I’m fighting for Georgia. We need your support today so that we can continue building momentum to WIN THIS RACE. Can we count on you to chip in $3 or $7 right now?","TEAM HERSCHEL, INC."
