,text,advertiser_name,platform,words,m_label
0,ad paid for by dave myers for san diego county sheriff 2022 fppc id 1436219 don t settle for the status quo elect dave myers for sheriff come june 7th 2022,Dave Myers for Sheriff 2022,google,no words,no topic
1,a broad coalition of ca indian tribes opposes this online gambling prop learn more stop the deceptive corp prop would turn every screen into a gambling device learn more,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes",google,tribes,social and cultural
2,stop the deceptive corp prop would turn every screen into a gambling device learn more take action corp prop would legalize an expansion of online sports gambling in ca,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes",google,no words,no topic
3,stand with captain sam brown let s restore accountability and leadership to washington captain sam brown fought for our country now he is ready to serve the people of nevada,SAM BROWN FOR NEVADA,google,no words,no topic
4,a broad coalition of ca indian tribes opposes this online gambling prop learn more take action corp prop would legalize an expansion of online sports gambling in ca,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes",google,tribes,social and cultural
5,vote june 7th 2022,Dave Myers for Sheriff 2022,google,no words,no topic
6,it s time to unite california under the leadership of michael shellenberger for governor restore safety and sanity to california by donating to support shellenberger for governor,SHELLENBERGER FOR GOVERNOR 2022,google,no words,no topic
7,mark is committed to fighting the radical left s unconstitutional mandates as senator mark will fight to protect your liberties please donate today,MARK MEUSER FOR U.S. SENATE,google,donate,donation
8,vote june 7th 2022 don t settle for the status quo elect dave myers for sheriff,Dave Myers for Sheriff 2022,google,no words,no topic
9,don t settle for the status quo elect dave myers for sheriff come june 7th 2022,Dave Myers for Sheriff 2022,google,no words,no topic
10,don t settle for the status quo elect dave myers for sheriff vote june 7th 2022,Dave Myers for Sheriff 2022,google,no words,no topic
11,it s time to unite california under the leadership of michael shellenberger for governor donate to support michael shellenberger for governor it s time to restore california,SHELLENBERGER FOR GOVERNOR 2022,google,donate,donation
12,democrats want to increase taxes to pay for their 3 5 trillion liberal spending spree gas and food prices are rising and now you can expect a tax increase this must stop,MARK MEUSER FOR U.S. SENATE,google,"tax,taxes",economic
13,michael will bring californians together and build the consensus needed to solve problems help michael shellenberger beat gavin newsom in 2022 please donate today,SHELLENBERGER FOR GOVERNOR 2022,google,donate,donation
14,help us elect local dems in california and states across the country local elections have never mattered more we can t do it without you,DEMOCRATIC LEGISLATIVE CAMPAIGN COMMITTEE,google,no words,no topic
15,donate today to re elect gavin newsom as california governor republicans are doing whatever it takes to stop us chip in to help us fight back,NEWSOM FOR CALIFORNIA – GOVERNOR – 2022,google,"chip in,donate",donation
16,stop the deceptive corp prop would turn every screen into a gambling device learn more a broad coalition of ca indian tribes opposes this online gambling prop learn more,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes",google,tribes,social and cultural
17,learn how we can fund future pandemic preparation the california pandemic prevention and detection act would fund pandemic prevention,"Californians Against Pandemics, sponsored by Public Health Nonprofit Organizations",google,pandemic,covid
18,democrat emily beach is a veteran mom and former mayor,Emily Beach for Congress,google,no words,no topic
19,take action corp prop would legalize an expansion of online sports gambling in ca stop the deceptive corp prop would turn every screen into a gambling device learn more,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes",google,no words,no topic
20,it s time to unite california under the leadership of michael shellenberger for governor donate to michael shellenberger for governor help beat gavin newsom in 2022,SHELLENBERGER FOR GOVERNOR 2022,google,donate,donation
21,republicans are coming for democrat josh harder donate today to fight back the gop is spending millions to attack josh donate now to keep the house blue,JOSH HARDER FOR CONGRESS,google,donate,donation
22,donate today to re elect gavin newsom as california governor he will always put californians first like he has for 2 years chip in to keep ca blue,NEWSOM FOR CALIFORNIA – GOVERNOR – 2022,google,"chip in,donate",donation
23,if we want action on the problems facing america we must fix or nix the filibuster mcconnell enriches his wealthy patrons and uses the filibuster to block everything else,Democracy Initiative,google,filibuster,governance
