,ad_id,ad_url,report_url,text,words,m_label
0,CR221162606398799872,https://transparencyreport.google.com/political-ads/library/advertiser/AR206807382586556416/creative/CR221162606398799872,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR206807382586556416&creative_id=CR221162606398799872&hl=en,don t settle for the status quo elect dave myers for sheriff come june 7th 2022 ad paid for by dave myers for san diego county sheriff 2022 fppc id 1436219,no words,no topic
1,CR436752647349862400,https://transparencyreport.google.com/political-ads/library/advertiser/AR440853413404606464/creative/CR436752647349862400,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR440853413404606464&creative_id=CR436752647349862400&hl=en,a broad coalition of ca indian tribes opposes this online gambling prop learn more take action corp prop would legalize an expansion of online sports gambling in ca,no words,no topic
2,CR149929646081703936,https://transparencyreport.google.com/political-ads/library/advertiser/AR440853413404606464/creative/CR149929646081703936,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR440853413404606464&creative_id=CR149929646081703936&hl=en,take action corp prop would legalize an expansion of online sports gambling in ca a broad coalition of ca indian tribes opposes the corp online gambling prop learn more,no words,no topic
3,CR548953410917892096,https://transparencyreport.google.com/political-ads/library/advertiser/AR199061254449397760/creative/CR548953410917892096,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR199061254449397760&creative_id=CR548953410917892096&hl=en,stand with captain sam brown let s restore accountability and leadership to washington captain sam brown fought for our country now he is ready to serve the people of nevada,no words,no topic
4,CR48033505489190912,https://transparencyreport.google.com/political-ads/library/advertiser/AR206807382586556416/creative/CR48033505489190912,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR206807382586556416&creative_id=CR48033505489190912&hl=en,don t settle for the status quo elect dave myers for sheriff vote june 7th 2022,no words,no topic
5,CR163372962437660672,https://transparencyreport.google.com/political-ads/library/advertiser/AR448621463054843904/creative/CR163372962437660672,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR448621463054843904&creative_id=CR163372962437660672&hl=en,it s time to unite california under the leadership of michael shellenberger for governor restore safety and sanity to california by donating to support shellenberger for governor,no words,no topic
6,CR322449754988478464,https://transparencyreport.google.com/political-ads/library/advertiser/AR132522040551800832/creative/CR322449754988478464,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR132522040551800832&creative_id=CR322449754988478464&hl=en,mark is committed to fighting the radical left s unconstitutional mandates as senator mark will fight to protect your liberties please donate today,donate,donation
7,CR376409250194259968,https://transparencyreport.google.com/political-ads/library/advertiser/AR206807382586556416/creative/CR376409250194259968,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR206807382586556416&creative_id=CR376409250194259968&hl=en,ad paid for by dave myers for san diego county sheriff 2022 fppc id 1436219,no words,no topic
8,CR375670378380394496,https://transparencyreport.google.com/political-ads/library/advertiser/AR206807382586556416/creative/CR375670378380394496,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR206807382586556416&creative_id=CR375670378380394496&hl=en,vote june 7th 2022 don t settle for the status quo elect dave myers for sheriff,no words,no topic
9,CR282611150179270656,https://transparencyreport.google.com/political-ads/library/advertiser/AR132522040551800832/creative/CR282611150179270656,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR132522040551800832&creative_id=CR282611150179270656&hl=en,democrats want to increase taxes to pay for their 3 5 trillion liberal spending spree gas and food prices are rising and now you can expect a tax increase this must stop,"tax,taxes",economic
10,CR221747546584776704,https://transparencyreport.google.com/political-ads/library/advertiser/AR448621463054843904/creative/CR221747546584776704,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR448621463054843904&creative_id=CR221747546584776704&hl=en,michael will bring californians together and build the consensus needed to solve problems help michael shellenberger beat gavin newsom in 2022 please donate today,donate,donation
11,CR353154579266797568,https://transparencyreport.google.com/political-ads/library/advertiser/AR440853413404606464/creative/CR353154579266797568,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR440853413404606464&creative_id=CR353154579266797568&hl=en,take action corp prop would legalize an expansion of online sports gambling in ca stop the deceptive corp prop would turn every screen into a gambling device learn more,no words,no topic
12,CR119831614782963712,https://transparencyreport.google.com/political-ads/library/advertiser/AR206807382586556416/creative/CR119831614782963712,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR206807382586556416&creative_id=CR119831614782963712&hl=en,ad paid for by dave myers for san diego county sheriff 2022 fppc id 1436219 don t settle for the status quo elect dave myers for sheriff come june 7th 2022,no words,no topic
13,CR114329796036526080,https://transparencyreport.google.com/political-ads/library/advertiser/AR495061707475910656/creative/CR114329796036526080,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR495061707475910656&creative_id=CR114329796036526080&hl=en,the dlcc is dedicated to electing dems in california and states across the country local elections have never mattered more we can t do it without you,no words,no topic
