,ad_id,ad_url,report_url,text
0,CR145945153381597184,https://transparencyreport.google.com/political-ads/library/advertiser/AR435848230316539904/creative/CR145945153381597184,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR435848230316539904&creative_id=CR145945153381597184&hl=en,representative for new york s first congressional district serving you
1,CR66373359440494592,https://transparencyreport.google.com/political-ads/library/advertiser/AR388565450750951424/creative/CR66373359440494592,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR388565450750951424&creative_id=CR66373359440494592&hl=en,new yorkers deserve a governor who works as hard as they do it s why gov kathy hochul has signed over 400 bills in her first six months
2,CR103553482572693504,https://transparencyreport.google.com/political-ads/library/advertiser/AR571358124997345280/creative/CR103553482572693504,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR571358124997345280&creative_id=CR103553482572693504&hl=en,help khaled to fight the three enemies of humanity poverty ignorance and disease simply put your vote count to get free education in universities for american students
3,CR277557794738012160,https://transparencyreport.google.com/political-ads/library/advertiser/AR571358124997345280/creative/CR277557794738012160,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR571358124997345280&creative_id=CR277557794738012160&hl=en,simply put your vote count to get free education in universities for american students help khaled to fight the three enemies of humanity poverty ignorance and disease
4,CR268569836936757248,https://transparencyreport.google.com/political-ads/library/advertiser/AR462572616343879680/creative/CR268569836936757248,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR462572616343879680&creative_id=CR268569836936757248&hl=en,robert needs your help to stop corporate pacs from buying this seat chip in today and help robert fight for our community in washington
5,CR193659422541611008,https://transparencyreport.google.com/political-ads/library/advertiser/AR137351233059946496/creative/CR193659422541611008,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR137351233059946496&creative_id=CR193659422541611008&hl=en,patriot not a politician
6,CR493765761223884800,https://transparencyreport.google.com/political-ads/library/advertiser/AR409835984226615296/creative/CR493765761223884800,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR409835984226615296&creative_id=CR493765761223884800&hl=en,our democrat opponent outraised us last quarter so we need your help immediately the georgia polls are a dead heat so please help us close the fundraising gap today
7,CR523814177060421632,https://transparencyreport.google.com/political-ads/library/advertiser/AR322809260931022848/creative/CR523814177060421632,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR322809260931022848&creative_id=CR523814177060421632&hl=en,carolyn maloney has dedicated her life to fighting for women s rights she s helping lead the way for federal action to protect our rights learn more
8,CR280451709342318592,https://transparencyreport.google.com/political-ads/library/advertiser/AR409835984226615296/creative/CR280451709342318592,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR409835984226615296&creative_id=CR280451709342318592&hl=en,our democrat opponent outraised us last quarter so we need your help immediately georgia will decide the senate majority in 2022 so help us close the fundraising gap
9,CR16934918609174528,https://transparencyreport.google.com/political-ads/library/advertiser/AR137351233059946496/creative/CR16934918609174528,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR137351233059946496&creative_id=CR16934918609174528&hl=en,patriot not a politician vote for brandon williams republican for ny 22
10,CR266608308192804864,https://transparencyreport.google.com/political-ads/library/advertiser/AR462572616343879680/creative/CR266608308192804864,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR462572616343879680&creative_id=CR266608308192804864&hl=en,chip in today and help robert fight for our community in washington robert needs your help to stop corporate pacs from buying this seat
11,CR166481694126243840,https://transparencyreport.google.com/political-ads/library/advertiser/AR322809260931022848/creative/CR166481694126243840,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR322809260931022848&creative_id=CR166481694126243840&hl=en,carolyn maloney knows fighting the climate crisis requires holding big oil accountable
12,CR229261746487951360,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR229261746487951360,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR229261746487951360&hl=en,if we want action on the problems facing america we must fix or nix the filibuster mcconnell enriches his wealthy patrons and uses the filibuster to block everything else
13,CR126433082596130816,https://transparencyreport.google.com/political-ads/library/advertiser/AR388565450750951424/creative/CR126433082596130816,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR388565450750951424&creative_id=CR126433082596130816&hl=en,gov kathy hochul is working hard and cutting taxes for middle class new york families
14,CR227983976537522176,https://transparencyreport.google.com/political-ads/library/advertiser/AR388565450750951424/creative/CR227983976537522176,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR388565450750951424&creative_id=CR227983976537522176&hl=en,gov kathy hochul is fighting to help new yorkers keep up with rising costs she s cutting taxes for middle class families
15,CR435306926998290432,https://transparencyreport.google.com/political-ads/library/advertiser/AR409835984226615296/creative/CR435306926998290432,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR409835984226615296&creative_id=CR435306926998290432&hl=en,georgia will decide the senate majority in 2022 so help us close the fundraising gap our democrat opponent outraised us last quarter so we need your help immediately
16,CR468721635122216960,https://transparencyreport.google.com/political-ads/library/advertiser/AR553621524972568576/creative/CR468721635122216960,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR553621524972568576&creative_id=CR468721635122216960&hl=en,tom suozzi will toughen bail laws and take on gun violence
17,CR389627166666522624,https://transparencyreport.google.com/political-ads/library/advertiser/AR553621524972568576/creative/CR389627166666522624,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR553621524972568576&creative_id=CR389627166666522624&hl=en,visit our website to learn more about our campaign today tom suozzi is running for governor he will toughen bail laws and take on gun violence
18,CR177688054075490304,https://transparencyreport.google.com/political-ads/library/advertiser/AR3455043491594240/creative/CR177688054075490304,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR3455043491594240&creative_id=CR177688054075490304&hl=en,since gov hochul took office she s been delivering results for new york we must continue this work and elect kathy hochul this year
19,CR389920186515324928,https://transparencyreport.google.com/political-ads/library/advertiser/AR219627825605378048/creative/CR389920186515324928,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR219627825605378048&creative_id=CR389920186515324928&hl=en,learn more about brian s commitment to justice and safety
20,CR397225891526082560,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR397225891526082560,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR397225891526082560&hl=en,the filibuster is used to block protections for our democracy it s time to fix or nix it it s been a year since january 6 but the senate hasn t acted to protect our elections
21,CR363059117448757248,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR363059117448757248,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR363059117448757248&hl=en,the january 6 insurrection kicked off a concerted wave of anti voting laws nationwide there s no greater priority than defending democracy you can help
22,CR268887046041370624,https://transparencyreport.google.com/political-ads/library/advertiser/AR462572616343879680/creative/CR268887046041370624,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR462572616343879680&creative_id=CR268887046041370624&hl=en,robert zimmerman the candidate who will stand up to washington powerful interests robert zimmerman is a democrat running in ny 03
23,CR133353408781352960,https://transparencyreport.google.com/political-ads/library/advertiser/AR462572616343879680/creative/CR133353408781352960,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR462572616343879680&creative_id=CR133353408781352960&hl=en,chip in 10 now to make sure democrats can keep their majority in november
24,CR352939074987753472,https://transparencyreport.google.com/political-ads/library/advertiser/AR462572616343879680/creative/CR352939074987753472,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR462572616343879680&creative_id=CR352939074987753472&hl=en,the democratic majority is at stake donate to robert zimmerman today chip in 10 now to make sure democrats can keep their majority in november
25,CR360292608754319360,https://transparencyreport.google.com/political-ads/library/advertiser/AR454286731076698112/creative/CR360292608754319360,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR454286731076698112&creative_id=CR360292608754319360&hl=en,candidate new york s 2nd congressional district supporting veterans and law enforcement andrew has a proven track record of pushing for policies that protect our communities
26,CR335736253498523648,https://transparencyreport.google.com/political-ads/library/advertiser/AR219627825605378048/creative/CR335736253498523648,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR219627825605378048&creative_id=CR335736253498523648&hl=en,brian benjamin will work alongside community partners to root out gun violence learn about how brian benjamin is fighting for causes to better the new york community
27,CR144710676701511680,https://transparencyreport.google.com/political-ads/library/advertiser/AR97392987641741312/creative/CR144710676701511680,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR97392987641741312&creative_id=CR144710676701511680&hl=en,it s time to focus on the hard working families in connecticut and end the d c power grab george logan is the republican leadership washington and connecticut need donate today
28,CR402139334112706560,https://transparencyreport.google.com/political-ads/library/advertiser/AR409835984226615296/creative/CR402139334112706560,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR409835984226615296&creative_id=CR402139334112706560&hl=en,help herschel walker reach his critical end of quarter fundraising goal donate to the official website of herschel walker for united states senate today
29,CR178783030217801728,https://transparencyreport.google.com/political-ads/library/advertiser/AR137351233059946496/creative/CR178783030217801728,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR137351233059946496&creative_id=CR178783030217801728&hl=en,vote for brandon williams republican for ny 22 patriot not a politician
30,CR215739815050608640,https://transparencyreport.google.com/political-ads/library/advertiser/AR388565450750951424/creative/CR215739815050608640,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR388565450750951424&creative_id=CR215739815050608640&hl=en,gov kathy hochul is fighting to help middle class families keep up with rising costs
31,CR369360968343355392,https://transparencyreport.google.com/political-ads/library/advertiser/AR553621524972568576/creative/CR369360968343355392,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR553621524972568576&creative_id=CR369360968343355392&hl=en,we are in a crime crisis and new york needs a governor who gets things done
32,CR529648185757401088,https://transparencyreport.google.com/political-ads/library/advertiser/AR161642606013448192/creative/CR529648185757401088,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR161642606013448192&creative_id=CR529648185757401088&hl=en,don t take the corporate media s bait they just want to divide the gop donate now dark money is flooding into florida i m counting on your urgent support donate now
33,CR227776856034639872,https://transparencyreport.google.com/political-ads/library/advertiser/AR468135801583042560/creative/CR227776856034639872,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR468135801583042560&creative_id=CR227776856034639872&hl=en,lee zeldin has a proven conservative record learn the truth about lee zeldin
34,CR26022519651696640,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR26022519651696640,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR26022519651696640&hl=en,the january 6 insurrection kicked off a concerted wave of anti voting laws nationwide
35,CR165726467076915200,https://transparencyreport.google.com/political-ads/library/advertiser/AR462572616343879680/creative/CR165726467076915200,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR462572616343879680&creative_id=CR165726467076915200&hl=en,the democratic majority is at stake donate to robert today chip in 10 now to make sure democrats can keep their majority in november
36,CR4721680886792192,https://transparencyreport.google.com/political-ads/library/advertiser/AR219627825605378048/creative/CR4721680886792192,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR219627825605378048&creative_id=CR4721680886792192&hl=en,learn more about brian s commitment to growing new york s economy jobs jobs and more jobs in every community
37,CR438564230195576832,https://transparencyreport.google.com/political-ads/library/advertiser/AR28179211709579264/creative/CR438564230195576832,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR28179211709579264&creative_id=CR438564230195576832&hl=en,we need to increase domestic energy production to lower gas prices
38,CR477447359400247296,https://transparencyreport.google.com/political-ads/library/advertiser/AR553621524972568576/creative/CR477447359400247296,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR553621524972568576&creative_id=CR477447359400247296&hl=en,new york faces high crime rates and kathy hochul refuses to act
39,CR521670266825211904,https://transparencyreport.google.com/political-ads/library/advertiser/AR461504990553309184/creative/CR521670266825211904,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR461504990553309184&creative_id=CR521670266825211904&hl=en,alessandra is ready to fight for working families in congress but she can t do it alone so will you donate to stand with us any amount you can pitch in will go a long way
40,CR498622166644817920,https://transparencyreport.google.com/political-ads/library/advertiser/AR388565450750951424/creative/CR498622166644817920,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR388565450750951424&creative_id=CR498622166644817920&hl=en,gov kathy hochul is cutting taxes for middle class new york families
41,CR49951053768032256,https://transparencyreport.google.com/political-ads/library/advertiser/AR388565450750951424/creative/CR49951053768032256,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR388565450750951424&creative_id=CR49951053768032256&hl=en,gov kathy hochul is working to help new york families keep up with rising costs she s putting middle class families first
42,CR86542800740417536,https://transparencyreport.google.com/political-ads/library/advertiser/AR322809260931022848/creative/CR86542800740417536,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR322809260931022848&creative_id=CR86542800740417536&hl=en,carolyn maloney has dedicated her life to fighting for women s rights
43,CR400354551862919168,https://transparencyreport.google.com/political-ads/library/advertiser/AR461504990553309184/creative/CR400354551862919168,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR461504990553309184&creative_id=CR400354551862919168&hl=en,willl you make a contribution and become a founding donor to our campaign for congress every early contribution helps us start strong and get the word out about this movement
44,CR149841822590435328,https://transparencyreport.google.com/political-ads/library/advertiser/AR461504990553309184/creative/CR149841822590435328,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR461504990553309184&creative_id=CR149841822590435328&hl=en,this campaign is people powered we answer to you not billionaires or special interests but it means that to win we re counting on lots and lots of people chipping in
45,CR428174944824721408,https://transparencyreport.google.com/political-ads/library/advertiser/AR462572616343879680/creative/CR428174944824721408,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR462572616343879680&creative_id=CR428174944824721408&hl=en,chip in today and help robert fight for our community in washington robert zimmerman the candidate who will stand up to washington powerful interests
46,CR205566033958797312,https://transparencyreport.google.com/political-ads/library/advertiser/AR553621524972568576/creative/CR205566033958797312,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR553621524972568576&creative_id=CR205566033958797312&hl=en,it s time to elect new leaders you can trust suozzi and reyna will fix bail reform and address mental health
47,CR541514252683313152,https://transparencyreport.google.com/political-ads/library/advertiser/AR461504990553309184/creative/CR541514252683313152,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR461504990553309184&creative_id=CR541514252683313152&hl=en,can you rush a contribution alessandra s campaign for congress in ny 03 this primary is short so donations in these early days go farther than at any other point
48,CR43775234393767936,https://transparencyreport.google.com/political-ads/library/advertiser/AR409835984226615296/creative/CR43775234393767936,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR409835984226615296&creative_id=CR43775234393767936&hl=en,georgia will decide the senate majority in 2022 so help us close the fundraising gap donate to the official website for herschel walker for united states senate today
49,CR108561620598259712,https://transparencyreport.google.com/political-ads/library/advertiser/AR3455043491594240/creative/CR108561620598259712,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR3455043491594240&creative_id=CR108561620598259712&hl=en,gov kathy hochul is delivering results for new york state chip in to her campaign today support the first female governor of new york kathy hochul
50,CR23158291861340160,https://transparencyreport.google.com/political-ads/library/advertiser/AR3455043491594240/creative/CR23158291861340160,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR3455043491594240&creative_id=CR23158291861340160&hl=en,she has even more in store for new yorkers support gov hochul s campaign today
51,CR204969686339682304,https://transparencyreport.google.com/political-ads/library/advertiser/AR537495846921437184/creative/CR204969686339682304,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR537495846921437184&creative_id=CR204969686339682304&hl=en,help nicole beat max rose again join team malliotakis and ride the red wave in 2022
52,CR546822557383262208,https://transparencyreport.google.com/political-ads/library/advertiser/AR462572616343879680/creative/CR546822557383262208,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR462572616343879680&creative_id=CR546822557383262208&hl=en,robert zimmerman the candidate who will stand up to powerful interests in washington
53,CR143629581893500928,https://transparencyreport.google.com/political-ads/library/advertiser/AR219627825605378048/creative/CR143629581893500928,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR219627825605378048&creative_id=CR143629581893500928&hl=en,brian has tackled some of new york s biggest problems support brian s campaign today brian benjamin is running for lt governor of new york
54,CR395268211072827392,https://transparencyreport.google.com/political-ads/library/advertiser/AR219627825605378048/creative/CR395268211072827392,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR219627825605378048&creative_id=CR395268211072827392&hl=en,help continue this work and elect brian benjamin for lt governor since taking office lt gov brian benjamin has been delivering results for new york
55,CR368315882541154304,https://transparencyreport.google.com/political-ads/library/advertiser/AR444221286239961088/creative/CR368315882541154304,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR444221286239961088&creative_id=CR368315882541154304&hl=en,marc molinaro running for congress in congressional district 19 see how marc continues to fight for you
56,CR528988616219688960,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR528988616219688960,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR528988616219688960&hl=en,states are passing laws to silence voters federal standards would put a stop to it
57,CR136299687626932224,https://transparencyreport.google.com/political-ads/library/advertiser/AR553621524972568576/creative/CR136299687626932224,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR553621524972568576&creative_id=CR136299687626932224&hl=en,tom suozzi is running for governor he will toughen bail laws and take on gun violence visit our website to learn more about our campaign today
58,CR401070333932601344,https://transparencyreport.google.com/political-ads/library/advertiser/AR462572616343879680/creative/CR401070333932601344,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR462572616343879680&creative_id=CR401070333932601344&hl=en,new york s 3rd congressional district
59,CR55439815813890048,https://transparencyreport.google.com/political-ads/library/advertiser/AR388565450750951424/creative/CR55439815813890048,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR388565450750951424&creative_id=CR55439815813890048&hl=en,gov kathy hochul is working hard and cutting taxes for middle class new york families she s helping working families make ends meet
60,CR90712286271897600,https://transparencyreport.google.com/political-ads/library/advertiser/AR3455043491594240/creative/CR90712286271897600,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR3455043491594240&creative_id=CR90712286271897600&hl=en,governor kathy hochul has brought a fresh and collaborative approach to governing she has even more in store for new yorkers support gov hochul s campaign today
61,CR379951464342093824,https://transparencyreport.google.com/political-ads/library/advertiser/AR79668207366963200/creative/CR379951464342093824,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR79668207366963200&creative_id=CR379951464342093824&hl=en,we need a new generation of leadership in washington that offers real ideas u0026 solutions george santos named nrcc young guns list to protect freedom in new york
62,CR11887747920822272,https://transparencyreport.google.com/political-ads/library/advertiser/AR79668207366963200/creative/CR11887747920822272,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR79668207366963200&creative_id=CR11887747920822272&hl=en,help us take back new york s third district for the people join the fight today to send our voice to washington
