,ad_url,advertiser_name,impressions,spend_usd,youtube_id,video_available,text,words,m_label
0,https://transparencyreport.google.com/political-ads/library/advertiser/AR194446432348930048/creative/CR421249670837174272,NRSC,≤ 10k,≤ 100,5beJUEo67Q8,True,could not retrieve a transcript for the video this is most likely caused by subtitles are disabled for this video if you are sure that the described cause is not responsible for this error and that a transcript should be retrievable please create an issue at please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error also make sure that there are no open issues which already describe your problem,no words,no topic
1,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR322721609238446080,SAHAK NALBANDYAN,≤ 10k,≤ 100,pzLwTOpn9mc,True,morgan president biden opened the leaders summit on climate with the announcement of a new target for the u s a 50 to 52 percent reduction from 2005 levels of greenhouse gas pollution by 2030 this is nearly twice the pledge from president obama in 2015 he called it a moral and economic imperative the health of communities throughout the world depends on it the well being of our workers depends on it the strength of our economies depends on it the countries that take decisive action now to create the industries of the future will be the ones that reap the economic benefits of the clean energy boom that s coming china s president xi jinping said the world has common but differentiated responsibilities he called on developed countries to help those in need and then touted china s leadership china will strive to peak carbon dioxide emissions before 2030 and achieve carbon neutrality before 2016 china has committed to move from carbon peak to carbon neutrality in a much shorter time span than what might take many developed countries president biden focused on job creation as the foundation of climate action across all industries agriculture housing energy transportation construction he is instructing all members of his cabinet to be involved part of the path to achieving net zero missions by 2050 carl shepard smith here thanks for watching cnbc on youtube,"transportation,greenhouse,pollution,economic imperative,climate,economic,emissions,health,carbon,greenhouse gas,workers,job creation","economic,environment,health"
2,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR509691362518499328,SAHAK NALBANDYAN,≤ 10k,≤ 100,fOCUqnSVIFY,True,if you ve thought about going solar i want you to consider this right this customer right here the only reason he went solar was because of the math behind his electric bill right so if he looks at his bill spills for 132 dollars a month 50 percent of the cost on a monthly basis was for taxes fees and delivery the other 50 was for the actual electricity itself right can you imagine ordering a pizza and paying 100 more just to have it delivered you wouldn t you d go pick it up yourself right and that s exactly what he did he put a power plant on his roof and the best part is he did so for no money out of pocket you can too and you can potentially start saving money right out of the gates if you have a home that qualifies for going solar for no money out of pocket what i want you to do is click on the link below and find out if your home qualifies just click on the link,"power plant,out of pocket,taxes","economic,environment,social programs"
3,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR447423820014288896,SAHAK NALBANDYAN,≤ 10k,≤ 100,8Fj9aEnCZq0,True,attention homeowners if you have a meter like this on the side of your house and chances are if you live in southern california you do you can be saving a ton of money on your energy costs there s a program where if you qualify you ll get solar panels installed at your home at zero upfront cost and i do mean zero to find out if you qualify click the link below there are four questions that you answer and then we ll reach out to you and let you know if you qualify music,"solar panels,energy costs",environment
4,https://transparencyreport.google.com/political-ads/library/advertiser/AR56689445138595840/creative/CR204196179909541888,MARKETFUEL SUBSCRIPTION SERVICES,≤ 10k,≤ 100,n8p9bcRbLxs,True,could not retrieve a transcript for the video this is most likely caused by no transcripts were found for any of the requested language codes en for this video n8p9bcrblxs transcripts are available in the following languages manually created none generated vi vietnamese auto generated translatable translation languages af afrikaans sq albanian am amharic ar arabic hy armenian az azerbaijani bn bangla eu basque be belarusian bs bosnian bg bulgarian my burmese ca catalan ceb cebuano zh hans chinese simplified zh hant chinese traditional co corsican hr croatian cs czech da danish nl dutch en english eo esperanto et estonian fil filipino fi finnish fr french gl galician ka georgian de german el greek gu gujarati ht haitian creole ha hausa haw hawaiian iw hebrew hi hindi hmn hmong hu hungarian is icelandic ig igbo id indonesian ga irish it italian ja japanese jv javanese kn kannada kk kazakh km khmer rw kinyarwanda ko korean ku kurdish ky kyrgyz lo lao la latin lv latvian lt lithuanian lb luxembourgish mk macedonian mg malagasy ms malay ml malayalam mt maltese mi māori mr marathi mn mongolian ne nepali no norwegian ny nyanja or odia ps pashto fa persian pl polish pt portuguese pa punjabi ro romanian ru russian sm samoan gd scottish gaelic sr serbian sn shona sd sindhi si sinhala sk slovak sl slovenian so somali st southern sotho es spanish su sundanese sw swahili sv swedish tg tajik ta tamil tt tatar te telugu th thai tr turkish tk turkmen uk ukrainian ur urdu ug uyghur uz uzbek vi vietnamese cy welsh fy western frisian xh xhosa yi yiddish yo yoruba zu zulu if you are sure that the described cause is not responsible for this error and that a transcript should be retrievable please create an issue at please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error also make sure that there are no open issues which already describe your problem,"persian,estonian,turkish,khmer,kurdish",foreign policy
5,https://transparencyreport.google.com/political-ads/library/advertiser/AR435113962707615744/creative/CR52307994381123584,CT Truth PAC Inc.,1M-10M,1k-50k,quOQFzWj-NI,True,the fbi is investigating how the lamont administration spent money governor lamont come clean because your administration sure looks dirty this message was paid for by ct truth back inc and made independent of any candidate or political party,no words,no topic
6,https://transparencyreport.google.com/political-ads/library/advertiser/AR52658188834570240/creative/CR203903160060739584,BOB FOR GOVERNOR INC,100k-1M,1k-50k,wKU7AnYiHZo,True,bob stefanowski an agenda that puts transparency first we re going to audit every agency of the state government and we re going to find out how they re spending money because this is your money and there is absolutely no accountability none i m bob stefanowski and i approve this message,no words,no topic
7,https://transparencyreport.google.com/political-ads/library/advertiser/AR52658188834570240/creative/CR571028443307704320,BOB FOR GOVERNOR INC,100k-1M,1k-50k,8zBTxobxS3E,True,bob stefanowski he s a fantastic listener and in order to better understand where people are coming from you really have to be a good listener he listens more than he talks he listens to you he understands you i m bob stefanowski and i approve this message,no words,no topic
8,https://transparencyreport.google.com/political-ads/library/advertiser/AR47383762836652032/creative/CR337733241492471808,MORE PERFECT UNION FOUNDATION,10k-100k,≤ 100,fiLusO7JopQ,True,what you re seeing around the country is already the groundwork being laid to essentially have a coup so a redistricting frenzy is underway across the country it is map makers and politicians picking their voters rather than the other way around fewer people are aligning with the gop s platform and so in order for them to hold on to power they re going to cheat it wouldn t have to be a violent cool it would be a coup by legislative process music over the past 10 years texas gained about 4 million people in total population 95 of that population was people of color despite people of color fueling the growth over the past decade there were no new majority minority districts drawn in either the state senate the state house or the congressional map and in fact both committees made an effort to reduce the number of majority minority districts on all three levels there was a particular attention to a district just north of austin in a county called bell county that is home to a sizable black population and in this county we had two districts placed within its boundaries that looked like a donut there was the outer ring district and then there was the inner district that basically worked to cut up the population of the two biggest cities within that county basically ensuring that people of color in that county could not elect candidates of their choice some of the worst districts were in the greater houston area and into the houston suburbs and fort bend county in particular congressional district 7 take part of populations in harris county and then also cut up the aapi communities that have grown tremendously there over the past 10 years because of these maps that don t accurately reflect texans and their values we get a legislature that is passing laws that are not favorable with the people of texas and this includes senate bill 8 known as the texas heartbeat law bans almost all abortions in the state the texas bill is unique permitting almost anyone to sue any person or provider who may have helped someone get an abortion after the limit north carolina is really a true 50 50 state roy cooper who s our democratic governor won reelection by 51 the same election where trump won the state really all the statewide elections you see are right down the line we would hopefully expect that our state you know politics that our congressional members would reflect that but but they don t because of because of gerrymandering in the maps that just got passed the communities that are being targeted to dilute their representation are all urban communities they re all the places where communities of color are you know they re taking places like greensboro it s a growing town it s our third largest city has a very large historical black population that city is basically being scooped out of its county and paired with really rural mountain counties that are very far away have very different interests and are demographically very different even if democrats are winning more than 50 percent of the votes they re still ending up in the minority in our state legislature and our state legislature is deciding all these really impactful things i mean we re still one of the few states that hasn t expanded medicaid it s something that the vast majority of north carolinians want it would give health coverage to 500 600 000 people in our state who really really need it there s this just huge mismatch between what the people of the state actually want what they ve actually voted for and what they get georgia has 14 congressional districts and under the map that was passed republicans have between nine and ten of those seats which is really remarkable in a state that is one of the quintessential battlegrounds right now georgia is very much a 50 50 state almost evenly down the line what we saw last decade is the emergence of an increasingly diverse multi racial georgia tech gwinnett county for example which is in the suburbs of atlanta you know in 1990 gwinnett county was 90 white it s only 30 white today and yet that is not at all being recognized in the maps that the georgia legislature passed in the atlanta suburbs michelle al is the first chinese american woman elected to the georgia state senate her district is about 62 percent non white and in redistricting it s transformed to a district that s 52 percent white it goes from being a biden district to a trump district in ohio on the congressional map there are 15 congressional districts republicans are favored to win 12 of those in any given year democrats only three which is wildly skewed in fact you know that s about 80 percent of seats in a state where republicans at most win about 53 percent of the vote music we have reintroduced hr4 the john robert lewis voting rights advancement act hr4 will create a new coverage formula to determine which states have been the most egregious actors and subject them to pre clearance that is based on a current evidence of voter discrimination the freedom to vote act will improve access to the ballot by setting national standards for absentee voting early voting and in person voting this bill will end partisan gerrymandering it s not too late for congress to act but the train is literally leaving the station music you,"black,gerrymandering,abortion,expanded medicaid,discrimination,abortions,values,voting rights,health,health coverage,laws,law,racial,people of color,interests","establishment,governance,health,polarizing,social and cultural,social programs"
9,https://transparencyreport.google.com/political-ads/library/advertiser/AR56689445138595840/creative/CR332410505702408192,MARKETFUEL SUBSCRIPTION SERVICES,≤ 10k,≤ 100,jG6NGdLUHeM,True,general michael flynn was unmasked at least 48 times but what does that really mean basically when the nsa compiles an intelligence report they have to redact the name and identity of any american national so for instance if there is a report about a foreign spy they would say that the spy spoke with person a and person a is actually an american national with his identity redacted but high level government officials can ask the nsa to unmask these american nationals in order to see who they actually are and we know through this unclassified document that michael flynn had his name redacted 48 times just in the three month period between november 2016 and january 2017 now is this illegal it s actually not even though most people don t know about it unmasking is a fairly common practice but according to william barr because of the large number of unmaskings of michael flynn as well as the fact that some of these unmaskings did not appear to have been in the line of normal business he actually assigned a us attorney john bash of texas to investigate this issue that was two months ago back in may so we ll have to wait and see what he actually finds out but if you d like a road map of what we know thus far then take a look at this the fisa abuse infographic poster put out by the epic times this thing is huge it s three feet by four feet it took our investigative journalists several months to put together and it is a timeline that details step by step how in the rush to set up surveillance and a former trump campaign advisor the fbi relied on politicized information consistently ignored exculpatory evidence and misled the fisa court in order to spy on carter page this is awesome we looked under every rock and every available source of information we just let the facts guide us wherever they may and this is what we came up with and now you can get this poster delivered to your home absolutely free of charge you don t even need to pay the cost of shipping just click on that button below and try the epic times newspaper for a full month for just a single dollar and we ll send you this poster absolutely free of charge that way not only can you stay up to date on all the developments as they re happening with a new source that doesn t spin the facts doesn t have any hidden agendas and doesn t push any false narratives but you can also hang this poster up study it yourself share it with your friends and family and get a blueprint of everything we know thus far we deliver to all 50 states no matter where you live you can get honest journalism delivered straight to your doorstep just click on that button below music,"nsa,barr,foreign","foreign policy,governance,safety"
