,ad_url,advertiser_name,impressions,spend_usd,youtube_id,video_available,text,words,m_label
0,https://transparencyreport.google.com/political-ads/library/advertiser/AR388565450750951424/creative/CR498903641621528576,Friends for Kathy Hochul,≤ 10k,≤ 100,UcQHDSvtl90,True,music my dad started at a steel plant and taught me if you work hard and play by the rules you can get ahead so i m fighting to make sure every family has the same shot ours did music,no words,no topic
1,https://transparencyreport.google.com/political-ads/library/advertiser/AR56689445138595840/creative/CR332410505702408192,MARKETFUEL SUBSCRIPTION SERVICES,≤ 10k,≤ 100,jG6NGdLUHeM,True,general michael flynn was unmasked at least 48 times but what does that really mean basically when the nsa compiles an intelligence report they have to redact the name and identity of any american national so for instance if there is a report about a foreign spy they would say that the spy spoke with person a and person a is actually an american national with his identity redacted but high level government officials can ask the nsa to unmask these american nationals in order to see who they actually are and we know through this unclassified document that michael flynn had his name redacted 48 times just in the three month period between november 2016 and january 2017 now is this illegal it s actually not even though most people don t know about it unmasking is a fairly common practice but according to william barr because of the large number of unmaskings of michael flynn as well as the fact that some of these unmaskings did not appear to have been in the line of normal business he actually assigned a us attorney john bash of texas to investigate this issue that was two months ago back in may so we ll have to wait and see what he actually finds out but if you d like a road map of what we know thus far then take a look at this the fisa abuse infographic poster put out by the epic times this thing is huge it s three feet by four feet it took our investigative journalists several months to put together and it is a timeline that details step by step how in the rush to set up surveillance and a former trump campaign advisor the fbi relied on politicized information consistently ignored exculpatory evidence and misled the fisa court in order to spy on carter page this is awesome we looked under every rock and every available source of information we just let the facts guide us wherever they may and this is what we came up with and now you can get this poster delivered to your home absolutely free of charge you don t even need to pay the cost of shipping just click on that button below and try the epic times newspaper for a full month for just a single dollar and we ll send you this poster absolutely free of charge that way not only can you stay up to date on all the developments as they re happening with a new source that doesn t spin the facts doesn t have any hidden agendas and doesn t push any false narratives but you can also hang this poster up study it yourself share it with your friends and family and get a blueprint of everything we know thus far we deliver to all 50 states no matter where you live you can get honest journalism delivered straight to your doorstep just click on that button below music,"nsa,barr,foreign","foreign policy,governance,safety"
2,https://transparencyreport.google.com/political-ads/library/advertiser/AR388565450750951424/creative/CR256553686673653760,Friends for Kathy Hochul,≤ 10k,≤ 100,GwiWAmH9Pd4,True,i m fighting to help families keep up with rising costs because i ll never forget where i came from,no words,no topic
3,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR138581998888288256,SAHAK NALBANDYAN,≤ 10k,≤ 100,pzLwTOpn9mc,True,morgan president biden opened the leaders summit on climate with the announcement of a new target for the u s a 50 to 52 percent reduction from 2005 levels of greenhouse gas pollution by 2030 this is nearly twice the pledge from president obama in 2015 he called it a moral and economic imperative the health of communities throughout the world depends on it the well being of our workers depends on it the strength of our economies depends on it the countries that take decisive action now to create the industries of the future will be the ones that reap the economic benefits of the clean energy boom that s coming china s president xi jinping said the world has common but differentiated responsibilities he called on developed countries to help those in need and then touted china s leadership china will strive to peak carbon dioxide emissions before 2030 and achieve carbon neutrality before 2016 china has committed to move from carbon peak to carbon neutrality in a much shorter time span than what might take many developed countries president biden focused on job creation as the foundation of climate action across all industries agriculture housing energy transportation construction he is instructing all members of his cabinet to be involved part of the path to achieving net zero missions by 2050 carl shepard smith here thanks for watching cnbc on youtube,"transportation,greenhouse,pollution,economic imperative,climate,economic,emissions,health,carbon,greenhouse gas,workers,job creation","economic,environment,health"
4,https://transparencyreport.google.com/political-ads/library/advertiser/AR143572407288856576/creative/CR196348965422104576,Sabbath Lafleur,≤ 10k,≤ 100,PkHASyqBkRQ,True,as i speak this is the last day of january uh in the year 2022 in this month alone here in new york city five police officers have been shot two of them died jason rivera and brother maura these are very young police officers dedicated to the force and it was a tragedy that ripped through the heart of of god fearing uh people all over everywhere that these officers lost their lives guns on the street of new york streets of new york and south side of chicago and other ghettos and also in the suburbs like you will not believe but gun violence is up now higher than it s been in quite some time new york city has just taken on a new mayor a hammer brother by the name of eric adams who uh was a former police officer himself but i want to and he s decided the way to deal with this this heart wrenching tragedy of these two very young police officers lives being cut down by a glock automatic gun with 47 rounds in it is to put plainclothes policemen back on the street they were part of that group that was once the stop and frisk group uh and the ones that claimed uh who had a a cult called we owned the night that was a part of the shooting of amadou the allo up in the bronx where they shot him 41 times and they saw a cell phone in this hand and said it was a gun they didn t shoot him once all of them opened fire 41 times on amado diallo and eric adams is saying you want to put those men back out on the street to combat gun violence i want to suggest to you that you helped me get this word out that we need to start what is known uh as the joseph project to save our young men and police officers and you need to try to get this word to eric adams or to some of the people that have bankrolled uh his mirror being elected mayor and to others as well that the police are not going to be able to do this job to stop the young men and to get the guns off the street they have that gun buyback programs and things are worse now than they ve ever been but here s what almighty god has said to me to suggest to mayor eric adams that he will start what is known as a joseph project and by that i mean we need to get men who have been in prison been convicted of crimes and have spent at least seven years in prison of a crime they were convicted of and who have been rehabilitated not by the system not by the bars not by the constraints but they have been rehabilitated along the lines the way red of shawshank redemption was rehabilitated where after being there for years and years his whole mindset changed his whole understanding of the dynamics of the world he understood what he was doing when he did it he didn t know what he was doing he was just a young man he had no idea but now he s come to a reckoning point and he understands clearly that is wrong you got men like that right now in dana mora you got men and attica you ve got men in auburn green haven comstock you got men like that in railway state prison but for new york let s stay within the new york confines that have been in prison for seven years or more and they have been not not corrected as a state of correction or rehabilitated according to what some psychiatrist says about criminals but they have been reformed they have been reborn they have studied they have become articulate they have used their time there to read they understand the science of pythagoras they ve they ve read philosophy they ve read the bible they ve even read the quran they ve read most religions many of them have read the hindu and buddhist versions of the bagadad gita they ve read world history they ve read about great men they ve read about criminals they ve read about iceberg slim they ve read to kill a mockingbird they re well read because over the years they have self educated themselves they ve read richard wright s black boy they they they are well read they re well spoken but yet they got another 25 years on their prison centers they re no longer criminals they are what they potentially could have been have they been raised in a strong environment with a strong pastor and a strong moral understanding these young men and they made mistakes they just couldn t analyze and computate and understand the wrong that they were doing or the harm that they did when they were criminals i m saying to merrick out mayor eric adams we need to put together a program called the joseph project let me interview these men along with some staff of other people not psychiatrists not sociologists to hell with them and not parole boy people let me talk with these men and let s bring them out of prison and put them on the streets give them a job on the streets by the schools up and down the avenues of harlem of fort greene of south bronx of south jamaica of bed stein and the ghettos and if the program works well here in new york then it can go nationally to south side chicago to los angeles to uh those ghettos as well south central los angeles but we can start here in new york and let me tell you why the joseph project works first of all i m taking talking about or referencing joseph the son of israel the youngest boy of israel who was thrown into prison by a woman who set him up set the boy up and then grabbed his jacket and lied on him he was a good man but he got put in prison and stayed there many many years but word got out to pharaoh when trouble was hitting egypt the way trouble is hitting america now the way trouble is hitting new york you ain t seen nothing the summer s going to come and the guns are going to be out there and the shootings are going to take place here in harlem is nearly a shooting every day people pushing people in front of the subways crime everywhere people jumping out of cars and broad daylight shooting people robbing burger kings at this year 2022 people sticking up joints you still got stick up kids going on and it s only going to get worse the people who know best how to deal with this or people who used to do it themselves but now they re mature they re well educated many of them are in their 50s now and i m saying get this word to eric adams here i have a problem i m not a democrat i m not a republican i m not an african american i don t i don t go down those roads i m not a liberal i m not an independent and so because i m not on either one of those sides americas politically are very competitive if you re not democrat then we ain t gonna help you if you re not republican we re not gonna help you and i m neither one so i but if you re republican we ll have to fight the democrats if you re a democrat we have to fight the republicans but i m neither one i i need to count on that small slither of people that hear me and know i m saying the truth and don t just walk away and not help me we need to get these men out of prison get them i don t know if you will or suspend this sentence and if they ve been there for longer in seven years they ve been timed to be rehabilitated and i can talk with them i you know i ve been there too i ve been to prison and and and look at the man i ve turned out to be um a community builder founder of three schools builder of a church and a ministry and and and and the things i ve done over the years uh it s just been phenomenal without other men they re probably better than i we need to get them out of there by the grace of god i was able to get out now we need to give them a salary now you re not going to take them out and put them on the streets i m suggesting and i would not settle for anything less these men that have spent at least seven years in prison and if they qualify and window does that anybody just because they ve been in seven years he got to have his head screwed all right he you can tell whether he s been reformed or not um but they ve been there give them a salary starting at a hundred thousand dollars a year to be on the street every day be on the street to two from from seven o clock in the morning to two o clock in the morning you know and and ships walk in the streets you see these young boys you see numbers on fox avenue up on whole avenue you know up on tremont up in the bronx or you you see them on 125th street 116th street edgecomb avenue you see them in the parks these men and and the fact that this will get publicity it ll be all over the television all of the newspapers that these men are out there and these young boys can come talk to them and and they can be in in such a way as the young boys will know you know i m an ex con myself don t go down the road i went down let me talk to you brother let me show you how to get your stuff together let me show you there s a better way and and and begin they ll take the guns off the street i guarantee you that you ll see crime go down by as much as 70 percent in the first year by having putting the police on the street is not here you re saying eric adams put more police on the street that s not the answer mayor laurie lightfoot out in chicago putting more police on the streets not there and you know it s not the answer you re just saying that because you don t know what else to say eric adams putting more police on the street is not the answer it s going to clog up the courts it s gonna cause more cause more shootings and more disillusionment eric adams you know putting more police on the street is not the answer it has never been the answer we need to put men who understand the hood men who understand the thinking process of these young boys and other criminals and put them out there as examples the new york state prison has produced this as your mentor he s in he s been in dannemora for 12 years he s now your mentor he has a decent salary so i can get a decent place to live they ll have to worry about committing crimes a hundred thousand dollars a year you give him two thousand dollars a week salary he can now pr buy his food have a car find a wife raise a family he doesn t have to worry about crying at to steal sell drugs any of that that money will reinforce his commitment to truth and reality so you know i need you to help me get this word out people have ostracized me but i m the man god sent me to harlem that s right god his name is jesus sent me to harlem and i had the men here until obama came along and and obama is a mega problem i believe the reason why trayvon martin is dead and in his grave and his flesh has rotted the same thing with michael brown and a whole lot of others it s because they believe that obama was the answer the same way that eric adam believed that putting more police off on police officers on the street and all of these other mayors putting more police officers on the street is the answer these young men could not rationalize to understand that obama was not the answer he was not going to pay their bills he was not going to make them invincible when you get shot you re going to die nobody if obama s obama s presidency is not going to make you bulletproof trayvon martin not going to make you bulletproof michael brown and we got to understand that otherwise the death toll continues let me be heard let me be heard let me talk to these men in dannemora and attica let me talk to these men let me sit down with them and let the state give them a suspended centers let the courts write a law that says well if you commit any crimes then there ll be no need if you re paying a man a hundred thousand dollars a year you ain t gonna need no you ll need to commit no crimes you know because it s all about money music and trust me these men have the confidence and the strength and the respect and the education these men most of them that i and i met with them i talked with them i sat with them you know uh and they are well trained they are principled and they re what these other young men on the street who don t have the fathers in the homes these young 17 18 19 year old boys don t have a father in the home but their father could be the man that was once in dannemora who s now on the street in the park winter summer and fall constantly on the streets in south jamaica south bronx fort greene harlem or ben stein and we can change the dynamics not on that but we can inspire other men in prison to clean wipe your nose get your act together clean yourself up there s a better way for for the last 75 years we have been creating a prison complex warehousing flesh warehousing hundreds of thousands of men just warehousing them throwing them in prison lock and throwing away the key and warehousing flesh and it hasn t helped and any fool can see more police officers is not the answer we need more jesus is what we need we need more truth we need more righteous men hear me don t let this appeal fall on down on closed ears deaf ears hear me for the young boy that gets saved might be your very own and some of your sons might be there that can come home now he s been gone now for 15 years he s clean shaven he s got a shine on his face he understands the world you can send him as the ambassador to russia you can send him down to the united nations you can send them to africa he d been in prison for 15 years kept his nose clean never been in solitary well maybe some have been no my friends help me eric adams let s do this joseph project and this gonna make you a great man oh my goodness oh you could run to mayor for the rest of new york s in his tenure but if not relying on police and more police and more shootings more rest more handcuffs then you re already into a failure and a fail system i m james david manning everybody i m here at the outlaw world missionary church on 123rd street our telephone number is 800 877 777 0734 and you of course you can pick up the information from the back end of this video come talk to me come talk to me but most of all talk to eric adams and the people around him because the life you save might be your own the shootings at the joseph project will stop what might be a bullet that s aimed for you but because you work to get the joseph project launched you still have your life your 14 year old girl will not be shot down going through the park trying to get home from school one day with a book bag and a hand the joseph project is what it s called me i m james david manning i m the lord servant music applause oh music music music has music is applause music is music music and we will say like all our teachers says music me music,"police,committing crimes,prison,shootings,gun,police officers,teachers,gun violence,education,guns,michael brown,liberal,egypt,policemen,trayvon,israel,shooting people,drugs,african,black,school,environment,police officer,officers,state prison,law,african american","education,environment,foreign policy,governance,polarizing,safety,social and cultural"
5,https://transparencyreport.google.com/political-ads/library/advertiser/AR67216822297952256/creative/CR343355731640057856,Ned for CT,1M-10M,1k-50k,AbY0VFLLfJs,True,we have breaking news now it is official governor lamont has officially signed into law that bill to suspend connecticut s gas tax the governor signed the bill that saves you money at the gas tax and at the gas pump i m ned lamont and i approve this message,"law,tax","economic,governance"
6,https://transparencyreport.google.com/political-ads/library/advertiser/AR427504792487591936/creative/CR354075007938199552,TAXPAYERS FOR WILSON INC,100k-1M,1k-50k,TmkR9l5dWb0,True,this is johnstown the town i grew up in my dad jim wilson attended bar my mom nikki worked at the sewing factory uncle pete was the mayor like so many communities we were tight knit patriotic and we looked out for each other but the high taxes and failed policies pushed by hoco cuomo and the albany politicians have hurt communities like this all over the state i m harry wilson i m running for governor because i cannot sit by while new york is devastated by career politicians i learned hard work for my parents we didn t have luxuries growing up to pay for college i cleaned toilets in the dorms bartended whatever it took to get the job done then i spent my life fixing broken companies turning them around to create opportunities for hard working people now i m running for governor to turn around new york sky high taxes are chasing businesses and families away albany s response was to give themselves a fifty thousand dollar pay raise it s outrageous politics as usual has failed us we need bold action and we need it now as governor i will pass a turnaround plan for new york our state budget is loaded with waste we will provide better services at a lower cost we will repeal every cuomo local tax increase and keep going we will keep our streets safe by adding more police giving them the tools they need to fight crime repealing cashless bail and firing da s who don t enforce the law it won t be easy the politicians will fight me they want business as usual they ve never met someone like me before willing to stop their paychecks if they fail to let us turn new york around hardworking people have had problem after problem caused by albany we don t have to sit idly by and watch it get worse a queer politician can t fix it but i can for my family and yours help me make this a state where opportunity can shine through once again let s turn around new york,"police,bail,tax,college,taxes,lower cost,law","economic,governance,safety,social programs"
7,https://transparencyreport.google.com/political-ads/library/advertiser/AR322809260931022848/creative/CR573069136888856576,MALONEY FOR CONGRESS,100k-1M,1k-50k,XyDh1Q28WdU,True,change doesn t come easy but it will come if you never quit i didn t quit on our 911 first responders and now they have health care for life during covet i delivered billions for our city to fund vaccines for hospitals and health workers for rent relief and to keep the doors of our small businesses open i didn t quit until i passed credit card reform i fought for family leave and won for the second avenue subway in one i took on big banks in one but our work is not done yet,"banks,health,workers,small businesses,vaccines,family leave,health care","economic,health,social programs"
8,https://transparencyreport.google.com/political-ads/library/advertiser/AR322809260931022848/creative/CR52036415009062912,MALONEY FOR CONGRESS,100k-1M,1k-50k,6UURc_GKLhI,True,my name is carolyn maloney i work for you,no words,no topic
9,https://transparencyreport.google.com/political-ads/library/advertiser/AR219675448202756096/creative/CR343618652358049792,REP. JOE MORELLE - U.S. HOUSE OF REPRESENTATIVES,100k-1M,1k-50k,ZcYpjMNoQy4,True,from ending surprise medical billing to making child care more affordable joe morelli fights for our families,medical billing,social programs
