,ad_id,ad_url,0,text
0,CR134968385204125696,https://transparencyreport.google.com/political-ads/library/advertiser/AR465982957815857152/creative/CR134968385204125696,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR465982957815857152&creative_id=CR134968385204125696&hl=en,"""Lydia has always stood for what's right, just as her parents taught her."",""She organized to protect families from payday lenders who trap people in predatory loans."
1,CR531379229376380928,https://transparencyreport.google.com/political-ads/library/advertiser/AR279687823638921216/creative/CR531379229376380928,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR279687823638921216&creative_id=CR531379229376380928&hl=en,"""Glenn Hegar is a sixth generation Texan running for Comptroller. Learn more here!"
2,CR118816009636282368,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR118816009636282368,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR118816009636282368&hl=en,"""Caitlyn Is The Change California Needs. Donate Now. Don't Wait!"",""No Time To Waste. Donate To Caitlyn Jenner For Governor."
3,CR134265247518162944,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR134265247518162944,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR134265247518162944&hl=en,"""Get Rid Of Gavin Once And For All. Caitlyn Has A Plan To Save California. Donate Today!"",""It's Official! Newsom Will Be Recalled. Caitlyn Will Put People Over Politics. Chip In."
4,CR502092019183648768,https://transparencyreport.google.com/political-ads/library/advertiser/AR67037258305241088/creative/CR502092019183648768,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR67037258305241088&creative_id=CR502092019183648768&hl=en,"""Will we join the left to take America backwards, or will this GOP lead America forward?"",""If we choose the right answer, our country's future is unlimited. Join Rep. Kinzinger now!"
5,CR12089164707135488,https://transparencyreport.google.com/political-ads/library/advertiser/AR465982957815857152/creative/CR12089164707135488,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR465982957815857152&creative_id=CR12089164707135488&hl=en,"""Lydia stands for quality schools, more jobs, and protecting us from the climate crisis."",""In Washington, she will work across the aisle to give every Texan a fair shot."
6,CR528988616219688960,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR528988616219688960,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR528988616219688960&hl=en,"""States are passing laws to silence voters. Federal standards would put a stop to it."
7,CR496800138438639616,https://transparencyreport.google.com/political-ads/library/advertiser/AR389693240443404288/creative/CR496800138438639616,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR389693240443404288&creative_id=CR496800138438639616&hl=en,"""This campaign is about what we can achieve when we all come together."",""Help define the future of our great state. Join us by making a donation today."
8,CR81964777919741952,https://transparencyreport.google.com/political-ads/library/advertiser/AR19054570869096448/creative/CR81964777919741952,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR19054570869096448&creative_id=CR81964777919741952&hl=en,"""Shawn Lassiter is a former STEM educator and a working mom."",""Vote Democrat Shawn Lassiter for Congress in the special election on May 1st!"
9,CR162678689564196864,https://transparencyreport.google.com/political-ads/library/advertiser/AR19439915334893568/creative/CR162678689564196864,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR19439915334893568&creative_id=CR162678689564196864&hl=en,"""Gov. Abbott does not stand with Texas women. He voted against a woman's right to choose."",""Governor Abbott should keep his hands off our freedoms."
10,CR528660961754611712,https://transparencyreport.google.com/political-ads/library/advertiser/AR279687823638921216/creative/CR528660961754611712,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR279687823638921216&creative_id=CR528660961754611712&hl=en,"""Glenn Hegar will fight to reform spending, reduce debt, and limit government. Learn More!"
11,CR457936319406931968,https://transparencyreport.google.com/political-ads/library/advertiser/AR24894764318982144/creative/CR457936319406931968,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR24894764318982144&creative_id=CR457936319406931968&hl=en,"""Check out the work Rep. Fletcher has done on behalf of your district!"
12,CR396631811649699840,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR396631811649699840,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR396631811649699840&hl=en,"""CA Has Had Enough Of Newsom. Caitlyn Can Take Back Our State. Donate Now."",""Help Take Back California. Newsom Is A Disaster! Donate To Make CA Red."
13,CR566640498559680512,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR566640498559680512,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR276637125548441600&creative_id=CR566640498559680512&hl=en,"""Time Is Running Out Before Election Day In Texas. Don't Wait. Find Your Polling Place Now."",""Still Unsure Of Where To Cast Your Election Day Vote? Find Your Polling Place Here Today."
14,CR51138182728646656,https://transparencyreport.google.com/political-ads/library/advertiser/AR99181652541964288/creative/CR51138182728646656,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR99181652541964288&creative_id=CR51138182728646656&hl=en,"""Join Matt Krause in signing the petition to defend the Heartbeat Bill from attacks."
15,CR82676780418203648,https://transparencyreport.google.com/political-ads/library/advertiser/AR285579453617143808/creative/CR82676780418203648,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR285579453617143808&creative_id=CR82676780418203648&hl=en,"""Biden should be impeached. He's disregarded U.S. laws more than any president in history."",""Stand with Chip Roy and help stop Biden and Harris. We have to end the Biden Border Crisis"
16,CR453487557921996800,https://transparencyreport.google.com/political-ads/library/advertiser/AR19054570869096448/creative/CR453487557921996800,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR19054570869096448&creative_id=CR453487557921996800&hl=en,"""Shawn Lassiter is the Democrat running to FLIP Texas' 6th District on May 1st."",""Send Shawn to Congress to fight for our right to vote."
17,CR363059117448757248,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR363059117448757248,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR363059117448757248&hl=en,"""It’s been a year since January 6, but the Senate hasn’t acted to protect our elections."",""The filibuster is used to block protections for our democracy. It’s time to fix or nix it."
18,CR479103979825922048,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR479103979825922048,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR479103979825922048&hl=en,"""CA Has Had Enough Of Newsom. Caitlyn Can Take Back Our State. Donate Now."",""Help Take Back California. Newsom Is A Disaster! Donate To Make CA Red."
19,CR190002790465011712,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR190002790465011712,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR190002790465011712&hl=en,"""Chip In Now To Disrupt California. Caitlyn Can Do It!"",""We Can Fix California! Caitlyn Has Fresh Ideas To Revitalize Our State. Donate Now."
