,ad_id,ad_url,report_url,text
0,CR101029003875319808,https://transparencyreport.google.com/political-ads/library/advertiser/AR63171272342765568/creative/CR101029003875319808,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR63171272342765568&creative_id=CR101029003875319808&hl=en,election day march 1 vote for a brighter future
1,CR548953410917892096,https://transparencyreport.google.com/political-ads/library/advertiser/AR199061254449397760/creative/CR548953410917892096,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR199061254449397760&creative_id=CR548953410917892096&hl=en,stand with captain sam brown let s restore accountability and leadership to washington captain sam brown fought for our country now he is ready to serve the people of nevada
2,CR286730195614826496,https://transparencyreport.google.com/political-ads/library/advertiser/AR234519885969883136/creative/CR286730195614826496,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR234519885969883136&creative_id=CR286730195614826496&hl=en,let s make voting simpler more convenient and more accessible vote kurt for clerk in the march 1 democratic primary
3,CR212564562908545024,https://transparencyreport.google.com/political-ads/library/advertiser/AR63171272342765568/creative/CR212564562908545024,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR63171272342765568&creative_id=CR212564562908545024&hl=en,texas s 29th congressional district
4,CR493844926061084672,https://transparencyreport.google.com/political-ads/library/advertiser/AR234519885969883136/creative/CR493844926061084672,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR234519885969883136&creative_id=CR493844926061084672&hl=en,let s make voting simpler more convenient and more accessible
5,CR554675269428838400,https://transparencyreport.google.com/political-ads/library/advertiser/AR137351233059946496/creative/CR554675269428838400,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR137351233059946496&creative_id=CR554675269428838400&hl=en,vote for brandon williams republican for ny 22 patriot not a politician
6,CR85559837345185792,https://transparencyreport.google.com/political-ads/library/advertiser/AR137351233059946496/creative/CR85559837345185792,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR137351233059946496&creative_id=CR85559837345185792&hl=en,patriot not a politician
7,CR469673537313964032,https://transparencyreport.google.com/political-ads/library/advertiser/AR207186026903371776/creative/CR469673537313964032,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR207186026903371776&creative_id=CR469673537313964032&hl=en,shelley barineau is a constitutional conservative running for texas state house committed to securing our border reducing crime banning crt u0026 protecting your 2a right
8,CR142274158934360064,https://transparencyreport.google.com/political-ads/library/advertiser/AR234519885969883136/creative/CR142274158934360064,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR234519885969883136&creative_id=CR142274158934360064&hl=en,i m campaigning for voter access in the face of statewide voter suppression let s make sure travis county has the shortest lines and highest turnout in texas
9,CR364304864123027456,https://transparencyreport.google.com/political-ads/library/advertiser/AR279687823638921216/creative/CR364304864123027456,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR279687823638921216&creative_id=CR364304864123027456&hl=en,hegar will stand up for the tax payer and fight for government transparency learn more
